Timestamp,mobile-30,mobile-31,mobile-32,mobile-9,mobile-21,mobile-22,mobile-48,mobile-23,mobile-13,mobile-14
2020-04-06 00:00:00,,,,,,,19.0,20.0,37.0,
2020-04-06 00:10:00,,,,,,,21.0,20.0,37.0,
2020-04-06 00:20:00,,,,,,,21.0,21.0,36.0,
2020-04-06 00:30:00,,,,,,,21.0,21.0,37.0,
2020-04-06 00:40:00,,,,,,,20.0,21.0,34.0,
2020-04-06 00:50:00,,,,,,,20.0,19.0,36.0,
2020-04-06 01:00:00,,,,,,,21.0,21.0,38.0,
2020-04-06 01:10:00,,,,,,,20.0,22.0,35.0,
2020-04-06 01:20:00,,,,,,,21.0,20.0,36.0,
2020-04-06 01:30:00,,,,,,,20.0,21.0,37.0,
2020-04-06 01:40:00,,,,,,,22.0,21.0,35.0,
2020-04-06 01:50:00,,,,,,,21.0,20.0,35.0,
2020-04-06 02:00:00,,,,,,,21.0,19.0,35.0,
2020-04-06 02:10:00,,,,,,,22.0,19.0,38.0,
2020-04-06 02:20:00,,,,,,,20.0,20.0,37.0,
2020-04-06 02:30:00,,,,,,,20.0,19.0,37.0,
2020-04-06 02:40:00,,,,,,,20.0,19.0,36.0,
2020-04-06 02:50:00,,,,,,,20.0,20.0,36.0,
2020-04-06 03:00:00,,,,,,,19.0,22.0,36.0,
2020-04-06 03:10:00,,,,,,,21.0,21.0,36.0,
2020-04-06 03:20:00,,,,,,,23.0,22.0,38.0,
2020-04-06 03:30:00,,,,,,,21.0,21.0,36.0,
2020-04-06 03:40:00,,,,,,,20.0,21.0,38.0,
2020-04-06 03:50:00,,,,,,,20.0,21.0,38.0,
2020-04-06 04:00:00,,,,,,,20.0,21.0,35.0,
2020-04-06 04:10:00,,,,,,,22.0,20.0,38.0,
2020-04-06 04:20:00,,,,,,,21.0,22.0,53.0,
2020-04-06 04:30:00,,,,,,,20.0,22.0,35.0,
2020-04-06 04:40:00,,,,,,,21.0,21.0,36.0,
2020-04-06 04:50:00,,,,,,,20.0,19.0,35.0,
2020-04-06 05:00:00,,,,,,,19.0,20.0,36.0,
2020-04-06 05:10:00,,,,,,,21.0,22.0,37.0,
2020-04-06 05:20:00,,,,,,,20.0,21.0,35.0,
2020-04-06 05:30:00,,,,,,,20.0,20.0,36.0,
2020-04-06 05:40:00,,,,,,,20.0,22.0,37.0,
2020-04-06 05:50:00,,,,,,,20.0,21.0,36.0,
2020-04-06 06:00:00,,,,,,,20.0,20.0,39.0,
2020-04-06 06:10:00,,,,,,,19.0,20.0,37.0,
2020-04-06 06:20:00,,,,,,,21.0,23.0,37.0,
2020-04-06 06:30:00,,,,,,,21.0,21.0,35.0,
2020-04-06 06:40:00,,,,,,,21.0,21.0,35.0,
2020-04-06 06:50:00,,,,,,,21.0,21.0,35.0,
