Timestamp,mobile-25,mobile-46,mobile-35,mobile-33,mobile-20,mobile-23,mobile-34,mobile-24,mobile-45,mobile-31,mobile-27,mobile-47,mobile-22
2020-04-06 00:00:00,,,,,,,,,,,,,
2020-04-06 00:10:00,,,,,,,,,,,,,
2020-04-06 00:20:00,,,,,,,,,,,,,
2020-04-06 00:30:00,,,,,,,,,,,,,
2020-04-06 00:40:00,,,,,,,,,,,,,
2020-04-06 00:50:00,,,,,,,,,,,,,
2020-04-06 01:00:00,,,,,,,,,,,,,
2020-04-06 01:10:00,,,,,,,,,,,,,
2020-04-06 01:20:00,,,,,,,,,,,,,
2020-04-06 01:30:00,,,,,,,,,,,,,
2020-04-06 01:40:00,,,,,,,,,,,,,
2020-04-06 01:50:00,,,,,,,,,,,,,
2020-04-06 02:00:00,,,,,,,,,,,,,
2020-04-06 02:10:00,,,,,,,,,,,,,
2020-04-06 02:20:00,,,,,,,,,,,,,
2020-04-06 02:30:00,,,,,,,,,,,,,
2020-04-06 02:40:00,,,,,,,,,,,,,
2020-04-06 02:50:00,,,,,,,,,,,,,
2020-04-06 03:00:00,,,,,,,,,,,,,
2020-04-06 03:10:00,,,,,,,,,,,,,
2020-04-06 03:20:00,,,,,,,,,,,,,
2020-04-06 03:30:00,,,,,,,,,,,,,
2020-04-06 03:40:00,,,,,,,,,,,,,
2020-04-06 03:50:00,,,,,,,,,,,,,
2020-04-06 04:00:00,,,,,,,,,,,,,
2020-04-06 04:10:00,,,,,,,,,,,,,
2020-04-06 04:20:00,,,,,,,,,,,,,
2020-04-06 04:30:00,,,,,,,,,,,,,
2020-04-06 04:40:00,,,,,,,,,,,,,
2020-04-06 04:50:00,,,,,,,,,,,,,
2020-04-06 05:00:00,,,,,,,,,,,,,
2020-04-06 05:10:00,,,,,,,,,,,,,
2020-04-06 05:20:00,,,,,,,,,,,,,
2020-04-06 05:30:00,,,,,,,,,,,,,
2020-04-06 05:40:00,,,,,,,,,,,,,
2020-04-06 05:50:00,,,,,,,,,,,,,
2020-04-06 06:00:00,,,,,,,,,,,,,
2020-04-06 06:10:00,,,,,,,,,,,,,
2020-04-06 06:20:00,,,,,30.0,,,,,,,,
2020-04-06 06:30:00,,,,,31.0,,,,,,,,
2020-04-06 06:40:00,,,,,,,,,,,,,
2020-04-06 06:50:00,,,,,,,,,,,,45.0,
2020-04-06 07:00:00,,,,,,,,,,,,49.0,
2020-04-06 07:10:00,,,,,,,,,,,,,
2020-04-06 07:20:00,,,,,,,,,,,,,
2020-04-06 07:30:00,,,,,,,,,,33.0,,,
2020-04-06 07:40:00,,,,,,,,46.0,,35.0,,,
2020-04-06 07:50:00,71.051,,,,,,,,,37.0,,,
2020-04-06 08:00:00,,,,,,,,,,,,,
2020-04-06 08:10:00,,,,,,,,,,,,,
2020-04-06 08:20:00,,,17.0,,,,,,,,,,
2020-04-06 08:30:00,,,,,,,,,,,,,
2020-04-06 08:40:00,,,,,,,,,,,,,
2020-04-06 08:50:00,,,,,,,,,,,,,
2020-04-06 09:00:00,,,,,,,,,,,,,
2020-04-06 09:10:00,,,,,,,,,,,,,
2020-04-06 09:20:00,,,,,,,,,,,,,
2020-04-06 09:30:00,,,,,,,,,,,,,
