Timestamp,mobile-15,mobile-13,mobile-14,mobile-9,mobile-39,mobile-37,mobile-21,mobile-43,mobile-10,mobile-22,mobile-32,mobile-44,mobile-34,mobile-49,mobile-46,mobile-23,mobile-45,mobile-8,mobile-31,mobile-36,mobile-7,mobile-12,mobile-5,mobile-11,mobile-42,static-15,static-13
2020-04-06 00:00:00,,,,,,,,25.0,23.0,24.0,,,,,,,,,,,,,,,,18.391,19.590999999999998
2020-04-06 00:10:00,,,,,,,,25.0,26.0,24.0,,,,,,,,,,,,,,,,19.227,19.279
2020-04-06 00:20:00,,,,,,,,25.0,23.0,21.0,,,,,,,,,,,,,,,,19.779,19.609
2020-04-06 00:30:00,,,,,,,,24.0,24.0,24.0,,,,,,,,,,,,,,,,19.432000000000002,19.435
2020-04-06 00:40:00,,,,,,,,25.0,25.0,29.0,,,,,,,,,,,,,,,,19.899,812.563
2020-04-06 00:50:00,,,,,,,,24.0,23.0,23.0,,,,,,,,,,,,,,,,18.66,19.682000000000002
2020-04-06 01:00:00,,,,,,,,24.0,24.0,26.0,,,,,,,,,,,,,,,,19.846,19.865
2020-04-06 01:10:00,,,,,,,,24.0,22.0,27.0,,,,,,,,,,,,,,,,19.81,18.97
2020-04-06 01:20:00,,,,,,,,23.0,27.0,27.0,,,,,,,,,,,,,,,,18.914,19.805999999999997
2020-04-06 01:30:00,,,,,,,,25.0,25.0,26.0,,,,,,,,,,,,,,,,19.563,19.827
2020-04-06 01:40:00,,,,,,,,25.0,25.0,24.0,,,,,,,,,,,,,,,,19.936,19.113
2020-04-06 01:50:00,,,,,,,,24.0,23.0,25.0,,,,,,,,,,,,,,,,19.322,18.019000000000002
2020-04-06 02:00:00,,,,,,,,24.0,27.0,27.0,,,,,,,,,,,,,,,,19.377,19.934
2020-04-06 02:10:00,,,,,,,,26.0,27.0,24.0,,,,,,,,,,,,,,,,19.994,18.735
2020-04-06 02:20:00,,,,,,,,23.0,26.0,23.0,,,,,,,,,,,,,,,,19.762999999999998,19.787
2020-04-06 02:30:00,,,,,,,,24.0,21.0,25.0,,,,,,,,,,,,,,,,19.45,19.855999999999998
2020-04-06 02:40:00,,,,,,,,25.0,27.0,21.0,,,,,,,,,,,,,,,,19.887999999999998,19.808
2020-04-06 02:50:00,,,,,,,,27.0,23.0,23.0,,,,,,,,,,,,,,,,19.03,19.759
2020-04-06 03:00:00,,,,,,,,25.0,26.0,23.0,,,,,,,,,,,,,,,,19.183,18.712
2020-04-06 03:10:00,,,,,,,,24.0,23.0,27.0,,,,,,,,,,,,,,,,19.658,19.508
2020-04-06 03:20:00,,,,,,,,25.0,24.0,24.0,,,,,,,,,,,,,,,,18.484,19.903
2020-04-06 03:30:00,,,,,,,,28.0,24.0,25.0,,,,,,,,,,,,,,,,19.665,19.889
2020-04-06 03:40:00,,,,,,,,28.0,23.0,25.0,,,,,,,,,,,,,,,,19.892,19.472
2020-04-06 03:50:00,,,,,,,,24.0,25.0,25.0,,,,,,,,,,,,,,,,19.533,19.628
2020-04-06 04:00:00,,,,,,,,23.0,22.0,24.0,,,,,,,,,,,,,,,,18.94,19.118
2020-04-06 04:10:00,,,,,,,,26.0,27.0,27.0,,,,,,,,,,,,,,,,19.771,18.904
2020-04-06 04:20:00,,,,,,,,26.0,25.0,24.0,,,,,,,,,,,,,,,,19.846,19.998
